member_no,lastname,firstname,issue_dt,expr_dt,region_no,corp_no
37,KAHRMANN,UHCIKKXBQAXIMN,1999-10-13 10:41:33,2000-10-12 10:41:33,6,453
38,LING,JSSSNYXFTVDXVM,1999-10-13 10:41:33,2000-10-12 10:41:33,9,
39,MAKAI,FJWLSPEDKOP,1999-10-13 10:41:33,2000-10-12 10:41:33,8,
40,NELSON,SPFEGRFJNJXEIO,1999-10-13 10:41:33,2000-10-12 10:41:33,6,
41,OLPHANT,ESRSTRHCRNYBHK,1999-10-13 10:41:33,2000-10-12 10:41:33,3,
42,PAYNTER,LSSSQHEWLX,1999-10-13 10:41:33,2000-10-12 10:41:33,2,
43,QUINT,ZHMOJ,1999-10-13 10:41:33,2000-10-12 10:41:33,2,
44,RYAN,XLZQILYM,1999-10-13 10:41:33,2000-10-12 10:41:33,2,
45,STEIN,BEWRUN,1999-10-13 10:41:33,2000-10-12 10:41:33,6,
46,TOLSKY,CUSKXHPBNEV,1999-10-13 10:41:33,2000-10-12 10:41:33,2,
47,UNAKLET,PJBUUVUOHRLIUA,1999-10-13 10:41:33,2000-10-12 10:41:33,5,318
48,VANN,MSSI,1999-10-13 10:41:33,2000-10-12 10:41:33,9,
49,WOLFMULE,PICS,1999-10-13 10:41:33,2000-10-12 10:41:33,6,
50,XAVIER,FSUMDWKRC,1999-10-13 10:41:33,2000-10-12 10:41:33,4,174
51,YEONG,TPGGGQUPRJYNCS,1999-10-13 10:41:33,2000-10-12 10:41:33,3,
52,ZUCKER,BWRAE,1999-10-13 10:41:33,2000-10-12 10:41:33,6,
53,ANDERSON,QXDJOUKGE,1999-10-13 10:41:33,2000-10-12 10:41:33,6,
54,BARR,YQKHUKDHBANDJO,1999-10-13 10:41:33,2000-10-12 10:41:33,7,
55,CHEN,GIO,1999-10-13 10:41:33,2000-10-12 10:41:33,8,
56,DORR,LWNFFXHCUKVTKQ,1999-10-13 10:41:33,2000-10-12 10:41:33,4,467
57,EFLIN,SUTDGBNEURPDQ,1999-10-13 10:41:33,2000-10-12 10:41:33,8,
58,FLORINI,VNCXVKSBLWGESO,1999-10-13 10:41:33,2000-10-12 10:41:33,2,
59,GOHAN,YCDTPEFA,1999-10-13 10:41:33,2000-10-12 10:41:33,9,
60,HAHN,TVHKU,1999-10-13 10:41:33,2000-10-12 10:41:33,3,436
61,INFANTE,PFVS,1999-10-13 10:41:33,2000-10-12 10:41:33,7,
62,JONES,JKHWYUEOPCBHKN,1999-10-13 10:41:33,2000-10-12 10:41:33,9,
63,KAHRMANN,VPGK,1999-10-13 10:41:33,2000-10-12 10:41:33,8,
64,LING,ZDNX,1999-10-13 10:41:33,2000-10-12 10:41:33,7,
65,MAKAI,GFMTXBC,1999-10-13 10:41:33,2000-10-12 10:41:33,6,276
66,NELSON,NLCDKAUBWGHLAO,1999-10-13 10:41:33,2000-10-12 10:41:33,7,
67,OLPHANT,ZLIKCFEOHR,1999-10-13 10:41:33,2000-10-12 10:41:33,9,484
68,PAYNTER,OHYCJK,1999-10-13 10:41:33,2000-10-12 10:41:33,3,
69,QUINT,OLSVJEIFXCVGM,1999-10-13 10:41:33,2000-10-12 10:41:33,4,
70,RYAN,QBUZIRPNUSQUYI,1999-10-13 10:41:33,2000-10-12 10:41:33,3,
71,STEIN,HDMMRWMHBPNFDE,1999-10-13 10:41:33,2000-10-12 10:41:33,3,
72,TOLSKY,KBBTNSLR,1999-10-13 10:41:33,2000-10-12 10:41:33,8,316
73,UNAKLET,TCJDJYM,1999-10-13 10:41:33,2000-10-12 10:41:33,5,
74,VANN,ZWYNPAXTXIQMU,1999-10-13 10:41:33,2000-10-12 10:41:33,3,
75,WOLFMULE,BCOQSYPQYQGAWI,1999-10-13 10:41:33,2000-10-12 10:41:33,7,
76,XAVIER,ESIFK,1999-10-13 10:41:33,2000-10-12 10:41:33,6,
77,YEONG,YOZSPX,1999-10-13 10:41:33,2000-10-12 10:41:33,3,
78,ZUCKER,NZBVTS,1999-10-13 10:41:33,2000-10-12 10:41:33,2,154
79,ANDERSON,QZHUTFEXHZQ,1999-10-13 10:41:33,2000-10-12 10:41:33,7,
80,BARR,ZQCIRCMCHSLQ,1999-10-13 10:41:33,2000-10-12 10:41:33,7,
81,CHEN,OSDAIGBNNSM,1999-10-13 10:41:33,2000-10-12 10:41:33,7,243
82,DORR,UBRJMBMWQI,1999-10-13 10:41:33,2000-10-12 10:41:33,5,
83,EFLIN,IQDIJKSNSHC,1999-10-13 10:41:33,2000-10-12 10:41:33,5,
84,FLORINI,QGMC,1999-10-13 10:41:33,2000-10-12 10:41:33,2,
85,GOHAN,CDSPKT,1999-10-13 10:41:33,2000-10-12 10:41:33,7,
86,HAHN,BIBQYJTPDRDU,1999-10-13 10:41:33,2000-10-12 10:41:33,9,
87,INFANTE,CEBSSOJSYGS,1999-10-13 10:41:33,2000-10-12 10:41:33,9,268
88,JONES,GUADVALRBIFPSX,1999-10-13 10:41:33,2000-10-12 10:41:33,9,
89,KAHRMANN,DQKGORWE,1999-10-13 10:41:33,2000-10-12 10:41:33,4,
90,LING,JAG,1999-10-13 10:41:33,2000-10-12 10:41:33,9,
91,MAKAI,YCLYIMXFJGWLSX,1999-10-13 10:41:33,2000-10-12 10:41:33,7,
92,NELSON,RHLYSXQWNVXWJU,1999-10-13 10:41:33,2000-10-12 10:41:33,2,
93,OLPHANT,RUWXYFXLMTFQBC,1999-10-13 10:41:33,2000-10-12 10:41:33,4,
94,PAYNTER,ZOJOBTVL,1999-10-13 10:41:33,2000-10-12 10:41:33,3,237
95,QUINT,HTYDFXSDNOBDHT,1999-10-13 10:41:33,2000-10-12 10:41:33,6,
96,RYAN,PJYVAREHJWMCGC,1999-10-13 10:41:33,2000-10-12 10:41:33,6,
97,STEIN,BCJGS,1999-10-13 10:41:33,2000-10-12 10:41:33,5,
98,TOLSKY,HVKNRYAU,1999-10-13 10:41:33,2000-10-12 10:41:33,2,
99,UNAKLET,OCDIHPMETIEWJP,1999-10-13 10:41:33,2000-10-12 10:41:33,4,
100,VANN,HEULBJNUQ,1999-10-13 10:41:33,2000-10-12 10:41:33,2,
101,WOLFMULE,QHRDYTDAHUERRX,1999-10-13 10:41:33,2000-10-12 10:41:33,5,
102,XAVIER,ERHBENE,1999-10-13 10:41:33,2000-10-12 10:41:33,2,
103,YEONG,PHHQGXXDLTE,1999-10-13 10:41:33,2000-10-12 10:41:33,2,
104,ZUCKER,HULP,1999-10-13 10:41:33,2000-10-12 10:41:33,5,
105,ANDERSON,MOEZTHBW,1999-10-13 10:41:34,2000-10-12 10:41:34,7,
106,BARR,ZHHGLRNPMSUQLQ,1999-10-13 10:41:34,2000-10-12 10:41:34,7,132
107,CHEN,NLPDWQDG,1999-10-13 10:41:34,2000-10-12 10:41:34,5,
108,DORR,EGKVGJ,1999-10-13 10:41:34,2000-10-12 10:41:34,8,
109,EFLIN,OSLR,1999-10-13 10:41:34,2000-10-12 10:41:34,9,
110,FLORINI,EJMKQMQNFWCQLV,1999-10-13 10:41:34,2000-10-12 10:41:34,2,
111,GOHAN,EMQIFTGTDGG,1999-10-13 10:41:34,2000-10-12 10:41:34,3,
112,HAHN,IYYCUPDYPHPKI,1999-10-13 10:41:34,2000-10-12 10:41:34,3,
113,INFANTE,LSCTKFJSNCKIYI,1999-10-13 10:41:34,2000-10-12 10:41:34,4,
114,JONES,HHFSEQZLA,1999-10-13 10:41:34,2000-10-12 10:41:34,7,
115,KAHRMANN,QLKOM,1999-10-13 10:41:34,2000-10-12 10:41:34,9,
116,LING,WLTMY,1999-10-13 10:41:34,2000-10-12 10:41:34,4,
117,MAKAI,ACIPSUM,1999-10-13 10:41:34,2000-10-12 10:41:34,6,
118,NELSON,TJGKJPTXLSMMEN,1999-10-13 10:41:34,2000-10-12 10:41:34,5,
119,OLPHANT,QQNARJWCZGKYLG,1999-10-13 10:41:34,2000-10-12 10:41:34,2,
120,PAYNTER,IETUNHOITJLSEN,1999-10-13 10:41:34,2000-10-12 10:41:34,9,
121,QUINT,GOTBGYA,1999-10-13 10:41:34,2000-10-12 10:41:34,9,
122,RYAN,MNNJ,1999-10-13 10:41:34,2000-10-12 10:41:34,5,
123,STEIN,AROYXULMCOJYGJ,1999-10-13 10:41:34,2000-10-12 10:41:34,9,
124,TOLSKY,XPQZKXV,1999-10-13 10:41:34,2000-10-12 10:41:34,3,
125,UNAKLET,TRVLDTQXVRKZXG,1999-10-13 10:41:34,2000-10-12 10:41:34,2,452
126,VANN,DHTMUHNR,1999-10-13 10:41:34,2000-10-12 10:41:34,8,
127,WOLFMULE,YGBTMWOLG,1999-10-13 10:41:34,2000-10-12 10:41:34,9,
128,XAVIER,IKQXPMHPRHV,1999-10-13 10:41:34,2000-10-12 10:41:34,9,
129,YEONG,CYBIQYOJWLFIH,1999-10-13 10:41:34,2000-10-12 10:41:34,7,
130,ZUCKER,HDPBEUJUVNIEND,1999-10-13 10:41:34,2000-10-12 10:41:34,5,
131,ANDERSON,DNHNV,1999-10-13 10:41:34,2000-10-12 10:41:34,6,441
132,BARR,CDFIUHGYICIMQP,1999-10-13 10:41:34,2000-10-12 10:41:34,7,
133,CHEN,UGEVVLGSTNADMS,1999-10-13 10:41:34,2000-10-12 10:41:34,7,
134,DORR,VIOVIKPOYIFSRO,1999-10-13 10:41:34,2000-10-12 10:41:34,9,
135,EFLIN,KSBHCDJHQBK,1999-10-13 10:41:34,2000-10-12 10:41:34,5,385
136,FLORINI,ABQBRLZM,1999-10-13 10:41:34,2000-10-12 10:41:34,7,
137,GOHAN,XWGM,1999-10-13 10:41:34,2000-10-12 10:41:34,9,
138,HAHN,GJWDKIJGUOXWOB,1999-10-13 10:41:34,2000-10-12 10:41:34,4,
139,INFANTE,LXRIOIGLSGKL,1999-10-13 10:41:34,2000-10-12 10:41:34,6,449
140,JONES,KUNOPHKWYVFCNE,1999-10-13 10:41:34,2000-10-12 10:41:34,3,
141,KAHRMANN,XMRWLDCTIPOUDK,1999-10-13 10:41:34,2000-10-12 10:41:34,9,
142,LING,HKGBPIUWFEWKR,1999-10-13 10:41:34,2000-10-12 10:41:34,3,
143,MAKAI,GIEBOBKLRDNDXU,1999-10-13 10:41:34,2000-10-12 10:41:34,2,459
144,NELSON,QQIRBKXUDRGFFE,1999-10-13 10:41:34,2000-10-12 10:41:34,2,266
145,OLPHANT,RHZCCXEIQUF,1999-10-13 10:41:34,2000-10-12 10:41:34,3,
146,PAYNTER,LMEVIKZTGJZRNC,1999-10-13 10:41:34,2000-10-12 10:41:34,2,
147,QUINT,MWVHFZCQFQHOVB,1999-10-13 10:41:34,2000-10-12 10:41:34,7,340
148,RYAN,WYAZURQUYVXU,1999-10-13 10:41:34,2000-10-12 10:41:34,5,
149,STEIN,IDMRQIBBYXQ,1999-10-13 10:41:34,2000-10-12 10:41:34,9,467
150,TOLSKY,ELPDJXMEVLJZKJ,1999-10-13 10:41:34,2000-10-12 10:41:34,8,
151,UNAKLET,NDPBF,1999-10-13 10:41:34,2000-10-12 10:41:34,4,
152,VANN,ZJRCMAB,1999-10-13 10:41:34,2000-10-12 10:41:34,4,
153,WOLFMULE,JCXOIPQWLUYMCM,1999-10-13 10:41:34,2000-10-12 10:41:34,2,
154,XAVIER,SINNBNUSHCOFYB,1999-10-13 10:41:34,2000-10-12 10:41:34,9,
155,YEONG,NVCQBLZUOEXWUT,1999-10-13 10:41:34,2000-10-12 10:41:34,3,
156,ZUCKER,VXIDGNDCEHYAQG,1999-10-13 10:41:34,2000-10-12 10:41:34,4,495
157,ANDERSON,ITZMOIWZGCSQLO,1999-10-13 10:41:34,2000-10-12 10:41:34,4,
158,BARR,RPFXCNXDSMCDNX,1999-10-13 10:41:34,2000-10-12 10:41:34,9,
159,CHEN,WFTYVGBXKRK,1999-10-13 10:41:34,2000-10-12 10:41:34,2,
160,DORR,OHWQ,1999-10-13 10:41:34,2000-10-12 10:41:34,8,
161,EFLIN,HIKTGICOFEFWLX,1999-10-13 10:41:34,2000-10-12 10:41:34,8,488
162,FLORINI,AMGTXBCWDJXDU,1999-10-13 10:41:34,2000-10-12 10:41:34,9,
163,GOHAN,BSIHBLBNXDNS,1999-10-13 10:41:34,2000-10-12 10:41:34,8,
164,HAHN,PVDTSYYNJ,1999-10-13 10:41:34,2000-10-12 10:41:34,6,299
165,INFANTE,KPZHRPIDCGJDGB,1999-10-13 10:41:34,2000-10-12 10:41:34,7,155
166,JONES,RIXYBYKGZROCBC,1999-10-13 10:41:34,2000-10-12 10:41:34,3,
167,KAHRMANN,OTHXAUYHVMRIXS,1999-10-13 10:41:34,2000-10-12 10:41:34,8,
168,LING,DKRNLRW,1999-10-13 10:41:34,2000-10-12 10:41:34,4,
169,MAKAI,FWRTDCV,1999-10-13 10:41:34,2000-10-12 10:41:34,8,
170,NELSON,VDBJCTSH,1999-10-13 10:41:34,2000-10-12 10:41:34,9,
171,OLPHANT,JUR,1999-10-13 10:41:34,2000-10-12 10:41:34,8,
172,PAYNTER,TPTMSTOPEODUED,1999-10-13 10:41:34,2000-10-12 10:41:34,8,
173,QUINT,TSZRJSZJUQBLCY,1999-10-13 10:41:34,2000-10-12 10:41:34,4,
174,RYAN,HZNKYYHUTD,1999-10-13 10:41:34,2000-10-12 10:41:34,7,337
175,STEIN,DCHCGRFF,1999-10-13 10:41:34,2000-10-12 10:41:34,3,
176,TOLSKY,QVCDRYQQ,1999-10-13 10:41:34,2000-10-12 10:41:34,3,
177,UNAKLET,VOKYUNRHCKKKVO,1999-10-13 10:41:34,2000-10-12 10:41:34,5,
178,VANN,XSQBCIZLXIHGH,1999-10-13 10:41:34,2000-10-12 10:41:34,9,
179,WOLFMULE,CKFCIWRASBSOEE,1999-10-13 10:41:34,2000-10-12 10:41:34,3,
180,XAVIER,WFUHKSESPVYCIE,1999-10-13 10:41:34,2000-10-12 10:41:34,7,
181,YEONG,HLQLLKGOJQIY,1999-10-13 10:41:34,2000-10-12 10:41:34,6,
182,ZUCKER,EEHMOWMWOGJXDY,1999-10-13 10:41:34,2000-10-12 10:41:34,9,
183,ANDERSON,YTYGNTOHJXVBBK,1999-10-13 10:41:35,2000-10-12 10:41:35,6,
184,BARR,VDEKFQKFMDDBJQ,1999-10-13 10:41:35,2000-10-12 10:41:35,7,209
185,CHEN,UIYROWJPXNTMOE,1999-10-13 10:41:35,2000-10-12 10:41:35,6,
186,DORR,HLIQXCCSBTMURU,1999-10-13 10:41:35,2000-10-12 10:41:35,6,227
187,EFLIN,SXICW,1999-10-13 10:41:35,2000-10-12 10:41:35,3,473
188,FLORINI,LYYRHPBRPJQBDV,1999-10-13 10:41:35,2000-10-12 10:41:35,9,
189,GOHAN,WBLPR,1999-10-13 10:41:35,2000-10-12 10:41:35,8,
190,HAHN,MCYITUUGICFTOJ,1999-10-13 10:41:35,2000-10-12 10:41:35,3,
191,INFANTE,UIUDMGHXEEO,1999-10-13 10:41:35,2000-10-12 10:41:35,7,
192,JONES,OSAWGOKS,1999-10-13 10:41:35,2000-10-12 10:41:35,4,
193,KAHRMANN,IXRYSLEGFLKATJ,1999-10-13 10:41:35,2000-10-12 10:41:35,9,
194,LING,SCMFYRJYGYEDCY,1999-10-13 10:41:35,2000-10-12 10:41:35,9,
195,MAKAI,JFQHVWTXLJTORS,1999-10-13 10:41:35,2000-10-12 10:41:35,3,
196,NELSON,TTBUMVHD,1999-10-13 10:41:35,2000-10-12 10:41:35,5,
197,OLPHANT,QNMRUTKTCVNWIJ,1999-10-13 10:41:35,2000-10-12 10:41:35,3,
198,PAYNTER,QMKKOBFPINRHMP,1999-10-13 10:41:35,2000-10-12 10:41:35,4,
199,QUINT,KVTIK,1999-10-13 10:41:35,2000-10-12 10:41:35,6,
200,RYAN,AAEBZBKJXFAUZT,1999-10-13 10:41:35,2000-10-12 10:41:35,5,
201,STEIN,YRMWCUEJOOABMT,1999-10-13 10:41:35,2000-10-12 10:41:35,4,
202,TOLSKY,OICUNUNXPDQNBH,1999-10-13 10:41:35,2000-10-12 10:41:35,4,
203,UNAKLET,SPZOVEPMHDSMX,1999-10-13 10:41:35,2000-10-12 10:41:35,3,
204,VANN,WNXTGHSU,1999-10-13 10:41:35,2000-10-12 10:41:35,6,
205,WOLFMULE,VRDXIEQTPPMOKJ,1999-10-13 10:41:35,2000-10-12 10:41:35,7,
206,XAVIER,LKGTRCVJVWWVJB,1999-10-13 10:41:35,2000-10-12 10:41:35,8,
207,YEONG,QRSFEACPGDICYG,1999-10-13 10:41:35,2000-10-12 10:41:35,9,
208,ZUCKER,IHPWXPOX,1999-10-13 10:41:35,2000-10-12 10:41:35,5,
209,ANDERSON,GWTMYQIFGNSHLW,1999-10-13 10:41:35,2000-10-12 10:41:35,3,
210,BARR,VQLSGNF,1999-10-13 10:41:35,2000-10-12 10:41:35,6,229
211,CHEN,JFEFDTJPGXRTOT,1999-10-13 10:41:35,2000-10-12 10:41:35,7,
212,DORR,FBOLSBERWGWFNC,1999-10-13 10:41:35,2000-10-12 10:41:35,9,
213,EFLIN,DKMDPWTLAFKDNV,1999-10-13 10:41:35,2000-10-12 10:41:35,5,70
214,FLORINI,IYJMOUSJDLPQHG,1999-10-13 10:41:35,2000-10-12 10:41:35,2,
215,GOHAN,JFUTP,1999-10-13 10:41:35,2000-10-12 10:41:35,9,
216,HAHN,CYCFWXXOWGPXF,1999-10-13 10:41:35,2000-10-12 10:41:35,3,402
217,INFANTE,IXNAEXKHRSBHBX,1999-10-13 10:41:35,2000-10-12 10:41:35,9,
218,JONES,CWVWD,1999-10-13 10:41:35,2000-10-12 10:41:35,8,
219,KAHRMANN,MIJPZUHGCCNABD,1999-10-13 10:41:35,2000-10-12 10:41:35,3,
220,LING,OLASAKNR,1999-10-13 10:41:35,2000-10-12 10:41:35,9,332
221,MAKAI,IFSDKOXBUGQHBJ,1999-10-13 10:41:35,2000-10-12 10:41:35,3,
222,NELSON,TETVDTLQXPOOFI,1999-10-13 10:41:35,2000-10-12 10:41:35,8,
223,OLPHANT,POIIYCTKQFYEGS,1999-10-13 10:41:35,2000-10-12 10:41:35,6,
224,PAYNTER,NVOJLGVERXECT,1999-10-13 10:41:35,2000-10-12 10:41:35,9,281
225,QUINT,FONVOGNCRQERQI,1999-10-13 10:41:35,2000-10-12 10:41:35,4,
226,RYAN,IISGEHXAG,1999-10-13 10:41:35,2000-10-12 10:41:35,9,
227,STEIN,HMGLGHXKLAWS,1999-10-13 10:41:35,2000-10-12 10:41:35,7,
228,TOLSKY,DDDDNFXZSRWUG,1999-10-13 10:41:35,2000-10-12 10:41:35,2,
229,UNAKLET,MCPTKDMJLNLQVW,1999-10-13 10:41:35,2000-10-12 10:41:35,4,
230,VANN,PZNMJARQRYOJTH,1999-10-13 10:41:35,2000-10-12 10:41:35,3,
231,WOLFMULE,KIABS,1999-10-13 10:41:35,2000-10-12 10:41:35,2,
232,XAVIER,UDFPPPKIKFZFOF,1999-10-13 10:41:35,2000-10-12 10:41:35,2,
233,YEONG,VGFUEYFPJRIUWJ,1999-10-13 10:41:35,2000-10-12 10:41:35,4,
234,ZUCKER,XUWDHNYONQCVOM,1999-10-13 10:41:35,2000-10-12 10:41:35,8,
235,ANDERSON,TCEYCKPDLCYLR,1999-10-13 10:41:35,2000-10-12 10:41:35,6,413
236,BARR,TCWOOFNCMU,1999-10-13 10:41:35,2000-10-12 10:41:35,3,
237,CHEN,BYIDSW,1999-10-13 10:41:35,2000-10-12 10:41:35,3,
238,DORR,VDTOVFJNRKYCLA,1999-10-13 10:41:35,2000-10-12 10:41:35,5,
239,EFLIN,XQWTLBXAUFQDXW,1999-10-13 10:41:35,2000-10-12 10:41:35,6,
240,FLORINI,GOVOOTPDRJQVRV,1999-10-13 10:41:35,2000-10-12 10:41:35,6,
241,GOHAN,JWIGBFCPPCV,1999-10-13 10:41:35,2000-10-12 10:41:35,8,
242,HAHN,PINOACOESLSPT,1999-10-13 10:41:35,2000-10-12 10:41:35,7,
243,INFANTE,IPIXFW,1999-10-13 10:41:35,2000-10-12 10:41:35,3,
244,JONES,GSHUNHWI,1999-10-13 10:41:35,2000-10-12 10:41:35,2,
245,KAHRMANN,ONRYPLUXVIRKIM,1999-10-13 10:41:35,2000-10-12 10:41:35,3,
246,LING,ZLIBDVPZQWRXXF,1999-10-13 10:41:35,2000-10-12 10:41:35,3,
247,MAKAI,KCOYHIPRQXIFFU,1999-10-13 10:41:35,2000-10-12 10:41:35,2,
248,NELSON,UNKBSSRW,1999-10-13 10:41:35,2000-10-12 10:41:35,3,
249,OLPHANT,ITHMMUQ,1999-10-13 10:41:35,2000-10-12 10:41:35,5,
250,PAYNTER,WMETJWUDYBR,1999-10-13 10:41:35,2000-10-12 10:41:35,5,
251,QUINT,VBWGLWMHTXUJOL,1999-10-13 10:41:35,2000-10-12 10:41:35,3,
252,RYAN,JQPHZSF,1999-10-13 10:41:35,2000-10-12 10:41:35,9,139
253,STEIN,SBIHS,1999-10-13 10:41:35,2000-10-12 10:41:35,2,
254,TOLSKY,PWSTDIXLX,1999-10-13 10:41:35,2000-10-12 10:41:35,4,
255,UNAKLET,JNHSVFZVVNBXFY,1999-10-13 10:41:35,2000-10-12 10:41:35,6,
256,VANN,IOYSRNJVWGNRHO,1999-10-13 10:41:35,2000-10-12 10:41:35,4,
257,WOLFMULE,NLONLRQGRMCXBC,1999-10-13 10:41:35,2000-10-12 10:41:35,2,
258,XAVIER,VKZEJQXGGPERFL,1999-10-13 10:41:35,2000-10-12 10:41:35,3,
259,YEONG,XVMWHJOFQ,1999-10-13 10:41:35,2000-10-12 10:41:35,5,
260,ZUCKER,IJBDEVXL,1999-10-13 10:41:35,2000-10-12 10:41:35,9,
261,ANDERSON,HTBCBWSS,1999-10-13 10:41:36,2000-10-12 10:41:36,8,
262,BARR,RHOCFTO,1999-10-13 10:41:36,2000-10-12 10:41:36,3,301
263,CHEN,QEWNIHGESZPJAV,1999-10-13 10:41:36,2000-10-12 10:41:36,5,
264,DORR,PCDBIFSPAIMYNH,1999-10-13 10:41:36,2000-10-12 10:41:36,3,
265,EFLIN,XPCNVEVTUXXSJK,1999-10-13 10:41:36,2000-10-12 10:41:36,3,
266,FLORINI,TSHOHWHLC,1999-10-13 10:41:36,2000-10-12 10:41:36,7,
267,GOHAN,UBKDHEYSJJGSRR,1999-10-13 10:41:36,2000-10-12 10:41:36,8,
268,HAHN,VBWRGEJYKOLFAM,1999-10-13 10:41:36,2000-10-12 10:41:36,2,431
269,INFANTE,CMCKZPEZJ,1999-10-13 10:41:36,2000-10-12 10:41:36,8,464
270,JONES,BIMWADSFSPUM,1999-10-13 10:41:36,2000-10-12 10:41:36,6,
271,KAHRMANN,JNWUJSYEXXXLMX,1999-10-13 10:41:36,2000-10-12 10:41:36,5,
272,LING,GARXYOQ,1999-10-13 10:41:36,2000-10-12 10:41:36,9,258
273,MAKAI,SXHER,1999-10-13 10:41:36,2000-10-12 10:41:36,9,
274,NELSON,YNQVFWVETHDNTE,1999-10-13 10:41:36,2000-10-12 10:41:36,7,
275,OLPHANT,PFHOCKYITCPAGH,1999-10-13 10:41:36,2000-10-12 10:41:36,3,
276,PAYNTER,HTZZVIBWQFZSHW,1999-10-13 10:41:36,2000-10-12 10:41:36,2,
277,QUINT,HIPHK,1999-10-13 10:41:36,2000-10-12 10:41:36,8,
278,RYAN,OCXPKLRRXXHMFY,1999-10-13 10:41:36,2000-10-12 10:41:36,2,
279,STEIN,HNGXFNHJHRZNFE,1999-10-13 10:41:36,2000-10-12 10:41:36,2,
280,TOLSKY,OTNIMYPPGH,1999-10-13 10:41:36,2000-10-12 10:41:36,6,456
281,UNAKLET,GHCBFGEMVUS,1999-10-13 10:41:36,2000-10-12 10:41:36,3,
282,VANN,UOWUNXPMSFPDKA,1999-10-13 10:41:36,2000-10-12 10:41:36,4,
283,WOLFMULE,ZRDHXCXDVJPDKZ,1999-10-13 10:41:36,2000-10-12 10:41:36,7,
284,XAVIER,LBEJUDB,1999-10-13 10:41:36,2000-10-12 10:41:36,5,
285,YEONG,XBOMOFVNI,1999-10-13 10:41:36,2000-10-12 10:41:36,4,
286,ZUCKER,CEQJFVJTBUHANN,1999-10-13 10:41:36,2000-10-12 10:41:36,8,
